dataset,alpha,experiment,volume_levelset,volume_likelihood,volume_one,volume_ot,coverage_levelset,coverage_likelihood,coverage_one,coverage_ot,ERT_levelset,ERT_likelihood,ERT_one,ERT_ot,WSC_levelset,WSC_likelihood,WSC_one,WSC_ot
casp,0.1,0,2.5150304,2.4991417,2.880908,2.9229482003267213,0.895059029296021,0.8961521644075208,0.8983384346305203,0.8965894184521207,0.0123732570829803,0.0256209797532542,0.0399613083921988,0.0442488094175592,0.812095046043396,0.8104575276374817,0.818965494632721,0.8042553067207336
casp,0.05,6,2.7993464,2.8097687,3.3626652,3.415979340903996,0.94993441189331,0.95037166593791,0.9462177525142108,0.9440314822912113,0.014146503081167,0.0092052259194145,0.0325749089881474,0.0317445455918723,0.8602620363235474,0.8723404407501221,0.8240343332290649,0.8361344337463379
casp,0.05,4,4.117987,4.1102014,4.463681,4.750231843691121,0.9527765631832096,0.9562745955400088,0.9516834280717096,0.9540883253170092,0.00612175380365,0.0102538619360337,0.0239395735193437,0.0214686487974011,0.8733624219894409,0.8755019903182983,0.8340611457824707,0.8369098901748657
casp,0.05,2,1.5731893,1.5743194,1.6791681,1.9498263734644965,0.95015303891561,0.9508089199825098,0.9473108876257106,0.9431569742020114,0.0134650331824343,0.0090725711040535,0.0229968821812402,0.025271612603668,0.8689956068992615,0.8697478771209717,0.8384279608726501,0.8369098901748657
casp,0.05,0,3.0181112,3.018145,3.446606,3.620637248522443,0.9464363795365108,0.9481853957149105,0.9411893310013116,0.9455618714473109,0.0013361284768482,0.0050487962396687,0.0208991639036895,0.0170945717165732,0.864628791809082,0.8489795923233032,0.8441558480262756,0.8515284061431885
biais,0.05,8,1.4691515,1.4724656,1.5199811,1.6930119347431556,0.9652061855670104,0.9626288659793816,0.9600515463917526,0.9497422680412372,0.0142804044263238,0.0108056316718865,0.0162134067552754,0.0132423519082459,0.7692307829856873,0.7692307829856873,0.7692307829856873,0.7435897588729858
scm1d,0.1,8,4.113541,3.9524128,4.759406,5.323663494699589,0.9225280326197758,0.9164118246687054,0.9225280326197758,0.9357798165137616,0.0249622035987337,0.0608453480564818,0.0877675485057706,0.0410442542278938,0.7884615659713745,0.6534653306007385,0.6363636255264282,0.808080792427063
biais,0.1,4,2.2283592,2.2031937,2.4845622,3.687242823678997,0.922680412371134,0.913659793814433,0.8865979381443299,0.913659793814433,0.0077254107099017,0.0244598878958286,0.0533531879471588,0.032253112181639,0.7875000238418579,0.7215189933776855,0.6794871687889099,0.7564102411270142
biais,0.1,0,1.7502372,1.712492,2.012542,2.5177775523695454,0.8878865979381443,0.8878865979381443,0.8878865979381443,0.8492268041237113,0.0319818018466801,0.030175350420331,0.0360843693963548,0.0670603752550357,0.7088607549667358,0.7307692170143127,0.7037037014961243,0.6153846383094788
biais,0.1,6,1.5468267,1.5109102,1.7597655,2.22794694737788,0.8917525773195877,0.9020618556701032,0.8969072164948454,0.8943298969072165,0.030383792436251,0.038669981335292,0.0523192784508168,0.0466732874480626,0.7160493731498718,0.7160493731498718,0.692307710647583,0.7307692170143127
scm1d,0.1,4,4.313085,4.0638847,4.8393984,5.352676070677105,0.90927624872579,0.9021406727828746,0.9072375127420998,0.910295616717635,0.0292385878444866,0.0575790008324904,0.1073438426712986,0.0641168657774803,0.7799999713897705,0.656862735748291,0.6161616444587708,0.6990291476249695
scm1d,0.1,0,3.8684497,3.8120441,4.488972,5.11364018204937,0.91131498470948,0.9235474006116208,0.9225280326197758,0.9194699286442406,0.0107189614464307,0.0570030224504809,0.0798156160227958,0.0451693927810733,0.7766990065574646,0.7156862616539001,0.6767676472663879,0.7676767706871033
biais,0.1,2,0.9858241,0.98164964,1.1186602,1.5230476966649644,0.9213917525773196,0.922680412371134,0.9239690721649484,0.9188144329896908,0.0430240004096177,0.0373995175452346,0.0469098543391136,0.0368552632051819,0.7307692170143127,0.7435897588729858,0.7692307829856873,0.7564102411270142
scm1d,0.05,5,5.4157596,5.1056123,6.468948,6.484923084784199,0.9520897043832824,0.9429153924566768,0.945973496432212,0.9714576962283384,0.0231860619196184,0.0294203944562149,0.0541065022079213,0.0256459231884457,0.7599999904632568,0.6800000071525574,0.6346153616905212,0.8199999928474426
scm1d,0.05,1,5.6494737,5.5016937,6.4424977,6.017846635461873,0.9571865443425076,0.9520897043832824,0.9561671763506626,0.9469928644240572,0.0156459198360626,0.0356288278218959,0.0485797245712659,0.0340117118815047,0.7799999713897705,0.6730769276618958,0.6200000047683716,0.699999988079071
scm1d,0.05,7,4.914799,4.742361,5.462772,5.369290215511025,0.9520897043832824,0.9469928644240572,0.9429153924566768,0.9602446483180428,0.0070055979632916,0.0356189841324092,0.0610965570878157,0.033505135192953,0.7599999904632568,0.6600000262260437,0.6200000047683716,0.7692307829856873
scm20d,0.1,0,4.540232,4.5826683,5.700862,6.877911478039491,0.8541202672605791,0.8641425389755011,0.9020044543429844,0.8986636971046771,0.0367932838730601,0.0430378627185123,0.0574661821878008,0.016931106181414,0.6702127456665039,0.6630434989929199,0.7252747416496277,0.7032967209815979
biais,0.1,1,0.69447446,0.68667907,0.9741541,1.2389174674825738,0.913659793814433,0.9162371134020618,0.9304123711340206,0.9072164948453608,0.0097965366806838,0.0224251565487548,0.033571564545801,0.0260612181082947,0.759036123752594,0.7530864477157593,0.7948718070983887,0.7435897588729858
scm1d,0.05,3,4.399493,4.225382,5.516354,5.076203106454015,0.965341488277268,0.9510703363914372,0.9520897043832824,0.9510703363914372,0.0092163157891599,0.025303022106682,0.0549746272984556,0.034396567400732,0.8199999928474426,0.699999988079071,0.6399999856948853,0.698113203048706
scm20d,0.1,2,5.78809,5.537749,6.7321267,9.921950799279625,0.8897550111358574,0.8841870824053452,0.89086859688196,0.8841870824053452,0.0185176960716034,0.0561825023475897,0.0733172059162739,0.0475034173714456,0.7222222089767456,0.7099999785423279,0.7142857313156128,0.699999988079071
biais,0.1,3,0.93544555,0.9290996,1.1808704,1.696711680863471,0.8672680412371134,0.8646907216494846,0.8827319587628866,0.9304123711340206,0.0399602848720313,0.0466302628809011,0.0644698125257089,0.0290769386232343,0.6625000238418579,0.6516854166984558,0.6410256624221802,0.7530864477157593
biais,0.1,7,1.8134186,1.7728097,1.9588645,2.1170115293644063,0.8994845360824743,0.904639175257732,0.8981958762886598,0.8865979381443299,0.0169512058546762,0.0216162205984811,0.013897438909122,0.0079321735609258,0.7307692170143127,0.7555555701255798,0.7356321811676025,0.7108433842658997
scm1d,0.05,6,4.388458,4.24492,5.4816384,5.170871922840638,0.9480122324159022,0.944954128440367,0.9480122324159022,0.924566768603466,-0.0060763510097484,0.0285890450369418,0.0597860840735726,0.0363410323342671,0.7799999713897705,0.6800000071525574,0.6200000047683716,0.6346153616905212
biais,0.1,5,1.217082,1.1997471,1.303053,1.660921040918408,0.9123711340206184,0.9097938144329896,0.9162371134020618,0.9007731958762888,0.018046329098363,0.0548916541593345,0.0461604738866523,0.0329875975408467,0.7564102411270142,0.75,0.7317073345184326,0.7407407164573669
scm1d,0.05,2,6.2851996,6.2185316,7.1669335,8.869921635637992,0.9694189602446484,0.9582059123343528,0.9429153924566768,0.9571865443425076,0.0200476632147369,0.0372666610080097,0.0634538558978534,0.0370351255069702,0.8103448152542114,0.6792452931404114,0.5600000023841858,0.7400000095367432
scm20d,0.1,3,5.0725555,4.914883,5.8273535,8.394849299246681,0.9120267260579064,0.9153674832962138,0.9064587973273942,0.9276169265033408,0.0260968444556053,0.0684097002575221,0.0864258366989689,0.0541539585331372,0.7555555701255798,0.7252747416496277,0.7204301357269287,0.791208803653717
scm1d,0.1,9,5.279686,4.987581,5.6184916,5.421290569934082,0.8674821610601428,0.8878695208970439,0.8776758409785933,0.8481141692150866,0.036792690906082,0.054544709753301,0.0965451234500667,0.0835014950509122,0.6960784196853638,0.6262626051902771,0.5656565427780151,0.6363636255264282
rf1,0.1,3,0.5743045,0.5459688,0.90725034,1.153756909501357,0.8971553610503282,0.887308533916849,0.8916849015317286,0.901531728665208,0.0010868925550911,0.0708989495995709,0.0671626818414164,0.0616657764655523,0.7446808218955994,0.6304348111152649,0.6458333134651184,0.717391312122345
scm20d,0.1,7,5.361495,5.3348565,6.3685675,8.424139327782243,0.8997772828507795,0.8997772828507795,0.9120267260579064,0.8975501113585747,0.0369373111218713,0.0512352708790481,0.0855146036245747,0.0512166435980486,0.70652174949646,0.7222222089767456,0.7291666865348816,0.7204301357269287
scm20d,0.1,1,6.134092,6.143577,7.2809987,8.80617529485363,0.8674832962138085,0.8730512249443207,0.8864142538975501,0.8730512249443207,0.0382755960299316,0.0570080740891355,0.0641154662205668,0.0303004374791198,0.692307710647583,0.692307710647583,0.6888889074325562,0.6947368383407593
scm20d,0.1,9,7.6905756,7.300794,8.9681015,10.821939489930667,0.8942093541202673,0.888641425389755,0.8808463251670379,0.9097995545657016,-0.0004171288746029,0.061692128749755,0.0913109989124821,0.056993181548601,0.7333333492279053,0.6464646458625793,0.6304348111152649,0.7346938848495483
rf1,0.1,0,1.0960324,1.0288832,1.6239554,1.7205130199789636,0.9277899343544858,0.8960612691466083,0.8982494529540481,0.9223194748358862,0.0522932966156477,0.0846706383694888,0.0966912960924558,0.0553473988402851,0.774193525314331,0.6304348111152649,0.6451612710952759,0.760869562625885
scm20d,0.1,6,4.5920343,4.5081654,5.201606,6.733406875422961,0.9053452115812918,0.9120267260579064,0.9097995545657016,0.9064587973273942,0.002176295191068,0.0409509748246342,0.0512129221208194,0.0389931838842447,0.7252747416496277,0.7525773048400879,0.7555555701255798,0.7444444298744202
