dataset,experiment,alpha,coverage_nan,coverage_full
taxi,2,0.1,0.9048939641109298,0.899673735725938
taxi,2,0.05,0.9566068515497552,0.9477977161500816
taxi,1,0.1,0.898205546492659,0.8915171288743883
taxi,1,0.05,0.9546492659053832,0.9412724306688418
taxi,3,0.1,0.8964110929853181,0.8890701468189234
taxi,3,0.05,0.9424143556280588,0.933442088091354
taxi,4,0.1,0.8926590538336052,0.8812398042414356
taxi,4,0.05,0.9477977161500816,0.93442088091354
taxi,5,0.1,0.899510603588907,0.8895595432300163
taxi,5,0.05,0.9513866231647634,0.934094616639478
casp,3,0.1,0.9020550940096196,0.9033668561434192
casp,3,0.05,0.9532138172278094,0.9440314822912113
taxi,8,0.1,0.9068515497553018,0.898042414355628
taxi,8,0.05,0.9535073409461664,0.9396411092985318
casp,2,0.1,0.9077393965894184,0.9079580236117184
casp,2,0.05,0.954962833406209,0.9427197201574116
taxi,9,0.1,0.9047308319738988,0.8967373572593801
taxi,9,0.05,0.9482871125611746,0.9371941272430668
casp,9,0.1,0.9009619588981198,0.8952776563183209
casp,9,0.05,0.9486226497595104,0.9363795365107128
casp,6,0.1,0.9055531263664188,0.8895933537385221
casp,6,0.05,0.9532138172278094,0.9385658067337124
taxi,7,0.1,0.901305057096248,0.8876019575856444
taxi,7,0.05,0.9445350734094616,0.931973898858075
casp,7,0.1,0.8922168780061216,0.8885002186270223
casp,7,0.05,0.939658941845212,0.9280717096633144
casp,8,0.1,0.8924355050284215,0.8828159160472234
casp,8,0.05,0.9470922606034106,0.929820725841714
